Ticker,Quarter,Necessity,Gamma_1,Gamma_2
GD,2025-Q4,18.4,22.1,4.5
GD,2026-Q1,18.4,22.1,4.5
BA,2025-Q2,22.1,25.4,8.1
BA,2025-Q3,21.5,24.2,7.2
BA,2025-Q4,20.1,22.5,5.4
BA,2026-Q1,19.2,20.8,4.1
GE,2025-Q2,24.2,28.4,8.2
GE,2025-Q3,24.2,28.4,8.2
GE,2025-Q4,24.2,28.4,8.2
GE,2026-Q1,24.2,28.4,8.2
CAT,2025-Q2,26.1,25.2,5.1
CAT,2025-Q3,26.1,25.2,5.1
CAT,2025-Q4,26.1,25.2,5.1
CAT,2026-Q1,26.1,25.2,5.1
DE,2025-Q2,22.4,24.1,6.2
DE,2025-Q3,22.4,24.1,6.2
DE,2025-Q4,22.4,24.1,6.2
DE,2026-Q1,22.4,24.1,6.2
HON,2025-Q2,23.5,26.4,7.1
HON,2025-Q3,23.5,26.4,7.1
HON,2025-Q4,23.5,26.4,7.1
HON,2026-Q1,23.5,26.4,7.1
UPS,2025-Q2,24.1,32.5,4.2
UPS,2025-Q3,24.1,32.5,4.2
UPS,2025-Q4,24.1,32.5,4.2
UPS,2026-Q1,24.1,32.5,4.2
FDX,2025-Q2,18.2,28.4,4.1
FDX,2025-Q3,18.2,28.4,4.1
FDX,2025-Q4,18.2,28.4,4.1
FDX,2026-Q1,18.2,28.4,4.1
XOM,2025-Q2,36.2,22.4,1.2
XOM,2025-Q3,36.2,22.4,1.2
XOM,2025-Q4,36.2,22.4,1.2
XOM,2026-Q1,36.2,22.4,1.2
CVX,2025-Q2,28.1,20.5,1.1
CVX,2025-Q3,28.1,20.5,1.1
CVX,2025-Q4,28.1,20.5,1.1
CVX,2026-Q1,28.1,20.5,1.1
SHEL,2025-Q2,24.2,21.4,1.4
SHEL,2025-Q3,24.2,21.4,1.4
SHEL,2025-Q4,24.2,21.4,1.4
SHEL,2026-Q1,24.2,21.4,1.4
TTE,2025-Q2,21.5,18.2,1.5
TTE,2025-Q3,21.5,18.2,1.5
TTE,2025-Q4,21.5,18.2,1.5
TTE,2026-Q1,21.5,18.2,1.5
NEE,2025-Q2,32.4,24.5,3.2
NEE,2025-Q3,32.4,24.5,3.2
NEE,2025-Q4,32.4,24.5,3.2
NEE,2026-Q1,32.4,24.5,3.2
DUK,2025-Q2,24.1,18.2,2.1
DUK,2025-Q3,24.1,18.2,2.1
DUK,2025-Q4,24.1,18.2,2.1
DUK,2026-Q1,24.1,18.2,2.1
SO,2025-Q2,22.8,20.1,2.4
SO,2025-Q3,22.8,20.1,2.4
SO,2025-Q4,22.8,20.1,2.4
SO,2026-Q1,22.8,20.1,2.4
UNH,2025-Q2,35.2,46.1,4.2
UNH,2025-Q3,35.2,46.1,4.2
UNH,2025-Q4,35.2,46.1,4.2
UNH,2026-Q1,35.2,46.1,4.2
LLY,2025-Q2,52.1,32.4,35.4
LLY,2025-Q3,53.4,33.5,36.8
LLY,2025-Q4,54.8,34.8,38.2
LLY,2026-Q1,55.1,35.2,39.0
JNJ,2025-Q2,38.4,42.1,12.4
JNJ,2025-Q3,38.4,42.1,12.4
JNJ,2025-Q4,38.4,42.1,12.4
JNJ,2026-Q1,38.4,42.1,12.4
PFE,2025-Q2,24.2,30.1,15.2
PFE,2025-Q3,24.2,30.1,15.2
PFE,2025-Q4,24.2,30.1,15.2
PFE,2026-Q1,24.2,30.1,15.2
MRK,2025-Q2,34.1,35.2,16.4
MRK,2025-Q3,34.1,35.2,16.4
MRK,2025-Q4,34.1,35.2,16.4
MRK,2026-Q1,34.1,35.2,16.4
ABBV,2025-Q2,32.4,28.1,11.2
ABBV,2025-Q3,32.4,28.1,11.2
ABBV,2025-Q4,32.4,28.1,11.2
ABBV,2026-Q1,32.4,28.1,11.2
TMO,2025-Q2,28.1,48.2,10.1
TMO,2025-Q3,28.1,48.2,10.1
TMO,2025-Q4,28.1,48.2,10.1
TMO,2026-Q1,28.1,48.2,10.1
DHR,2025-Q2,26.4,44.1,11.2
DHR,2025-Q3,26.4,44.1,11.2
DHR,2025-Q4,26.4,44.1,11.2
DHR,2026-Q1,26.4,44.1,11.2
COST,2025-Q2,24.2,26.1,3.1
COST,2025-Q3,24.2,26.1,3.1
COST,2025-Q4,24.2,26.1,3.1
COST,2026-Q1,24.2,26.1,3.1
WMT,2025-Q2,32.1,38.4,4.2
WMT,2025-Q3,32.1,38.4,4.2
WMT,2025-Q4,32.1,38.4,4.2
WMT,2026-Q1,32.1,38.4,4.2
PG,2025-Q2,28.4,25.1,3.2
PG,2025-Q3,28.4,25.1,3.2
PG,2025-Q4,28.4,25.1,3.2
PG,2026-Q1,28.4,25.1,3.2
KO,2025-Q2,25.2,24.0,2.1
KO,2025-Q3,25.2,24.0,2.1
KO,2025-Q4,25.2,24.0,2.1
KO,2026-Q1,25.2,24.0,2.1
PEP,2025-Q2,22.4,22.5,2.4
PEP,2025-Q3,22.4,22.5,2.4
PEP,2025-Q4,22.4,22.5,2.4
PEP,2026-Q1,22.4,22.5,2.4
HD,2025-Q2,26.1,28.2,3.1
HD,2025-Q3,26.1,28.2,3.1
HD,2025-Q4,26.1,28.2,3.1
HD,2026-Q1,26.1,28.2,3.1
MCD,2025-Q2,22.4,21.5,2.0
MCD,2025-Q3,22.4,21.5,2.0
MCD,2025-Q4,22.4,21.5,2.0
MCD,2026-Q1,22.4,21.5,2.0
DIS,2025-Q2,21.5,26.4,4.2
DIS,2025-Q3,21.5,26.4,4.2
DIS,2025-Q4,21.5,26.4,4.2
DIS,2026-Q1,21.5,26.4,4.2

NVDA,2020-FY,55.4,88.2,48.1
MSFT,2020-FY,62.1,72.4,26.4
ASML,2020-FY,34.2,65.1,22.8
AAPL,2020-FY,42.1,64.2,18.5
AMZN,2020-FY,48.5,85.2,44.1
GOOGL,2020-FY,55.1,82.4,39.5
NVDA,2021-FY,58.2,90.5,51.4
MSFT,2021-FY,64.5,73.1,25.8
GOOGL,2021-FY,57.4,84.2,41.2
ASML,2021-FY,35.1,64.8,21.5
AMZN,2021-FY,49.8,87.1,46.2
TSM,2021-FY,51.2,64.5,29.8
NVDA,2022-FY,59.5,92.1,52.8
META,2022-FY,41.8,67.8,30.2
ASML,2022-FY,32.8,61.5,18.2
MSFT,2022-FY,65.8,72.9,24.1
GOOGL,2022-FY,58.2,85.8,42.5
AAPL,2022-FY,45.5,68.1,21.2
NVDA,2023-FY,61.4,94.2,53.8
PLTR,2023-FY,72.4,70.5,75.8
MSFT,2023-FY,66.5,73.4,23.5
LLY,2023-FY,53.4,33.5,36.8
AMZN,2023-FY,51.1,89.5,49.0
TSM,2023-FY,53.0,66.8,31.0
NVDA,2024-FY,62.8,96.0,54.2
PLTR,2024-FY,75.1,72.1,79.2
MSFT,2024-FY,66.8,73.5,22.8
TSM,2024-FY,54.2,68.1,32.1
GOOGL,2024-FY,59.5,87.2,44.0
AVGO,2024-FY,44.0,58.0,33.0
