Technology,Year,Gamma_2,Invariance,dI_dt,Density,True_Historical_Era
Telegraph_Network,1850,55.0,28.0,15.0,1.2,Early Inter-City Morse Code Infrastructure
Telegraph_Network,1870,72.0,65.0,45.0,68.0,Transatlantic Cable Consolidation Era
Telegraph_Network,1890,20.0,55.0,-8.0,85.0,Tollbooth Processing of Commercial Traffic
Telegraph_Network,1910,5.0,40.0,-25.0,22.0,Telephony Displacement & Protocol Decay
Wired_Telephony,1890,68.0,34.0,25.0,0.8,Early Urban Manual Switchboard Inception
Wired_Telephony,1910,82.0,62.0,58.0,45.0,Long-Lines Loading Coil Network Expansion
Wired_Telephony,1930,92.0,88.0,32.0,88.0,Universal Monopolistic Substrate Capture
Incandescent_Lighting,1885,62.0,22.0,35.0,0.4,Edison Carbon Filament Bamboo Bamboo Lab
Incandescent_Lighting,1905,78.0,54.0,68.0,38.2,Tungsten Wire Vacuum Lamp Infrastructure
Incandescent_Lighting,1925,85.0,85.0,22.0,92.0,Phoebus Cartel Global Standard Stabilization
Gas_Lighting_Incumbent,1885,15.0,68.0,-2.0,94.0,Urban Pipeline Retort Plant Zenith
Gas_Lighting_Incumbent,1905,5.0,55.0,-14.0,42.0,Localized Burner Mantle Efficiency Fight
Gas_Lighting_Incumbent,1925,0.0,35.0,-28.0,4.2,Total Electric Filament Replacement Phase
Commercial_Television,1948,58.0,35.0,28.0,0.6,Post-War Broadcast Transmitter Deployment
Commercial_Television,1958,82.0,68.0,62.0,65.0,Mass Living Room Culture Colonization
Commercial_Television,1978,88.0,85.0,15.0,94.0,Stabilized Consumer Media Substrate
Commercial_Radio_Incumb,1948,30.0,75.0,2.0,92.0,Golden Age Network Audio Domination
Commercial_Radio_Incumb,1958,12.0,65.0,-10.0,55.0,Visual Media Attention Capture Drainage
Broadband_Fiber_Optic,1995,78.0,32.0,45.0,1.2,Early DWDM Telecom Backbone Testing Loop
Broadband_Fiber_Optic,2005,94.0,78.0,84.0,55.0,Undersea Cable Core Internet Urbanization
Dial_Up_Copper_Modem,1995,45.0,62.0,14.0,85.0,Consumer World Wide Web Gateway Zenith
Dial_Up_Copper_Modem,2005,5.0,40.0,-26.0,12.0,Last-Mile Bandwidth Bottleneck Fracture
Hydraulic_Fracking,2000,42.0,25.0,12.0,0.5,Early Barnett Shale Horizontal Test Wells
Hydraulic_Fracking,2010,75.0,62.0,72.0,48.0,Unconventional Tight Oil Production Wave
Hydraulic_Fracking,2020,82.0,85.0,18.0,82.0,Swing Producer Energy Infrastructure Base
Vertical_Crude_Drilling,2000,24.0,68.0,4.0,92.0,Conventional Structural Trap Drilling Base
Vertical_Crude_Drilling,2010,12.0,58.0,-6.0,52.0,Depletion Curve Production Decline Drag
Containerized_Shipping,1956,72.0,22.0,35.0,0.2,Ideal-X Intermodal Crane Dock Experiment
Containerized_Shipping,1972,88.0,68.0,74.0,58.0,Global Port Standardization Wave Ingress
Containerized_Shipping,1988,95.0,92.0,32.0,95.0,Intermodal Supply Chain Monolith Anchor
Break_Bulk_Cargo_Ships,1956,15.0,75.0,2.0,95.0,Manual Stevedore Waterfront Harbor Zenith
Break_Bulk_Cargo_Ships,1972,2.0,45.0,-18.0,24.0,Pre-Standardized Crane Piece Turnover Drag
Jet_Propulsion_Aviation,1945,74.0,18.0,42.0,0.5,Military Me-262 / Axial Compressor Test
Jet_Propulsion_Aviation,1960,88.0,65.0,78.0,45.0,Boeing 707 Commercial Airway Colonization
Piston_Engine_Aircraft,1945,32.0,75.0,5.0,95.0,Supercharged Radial Engine Technical Zenith
Piston_Engine_Aircraft,1960,10.0,48.0,-16.0,28.0,High-Altitude Speed and Vibrational Ceiling
Concorde_Supersonic,1969,82.0,52.0,45.0,0.5,Early Anglo-French Production Prototype Inception
Concorde_Supersonic,1976,85.0,22.0,-14.0,5.2,Sonic Boom Ban Over Land & Oil Price Shock
Concorde_Supersonic,1989,32.0,10.0,-28.0,0.8,Prestige Niche Route Extraction Phase
Early_Lithium_Ion,1991,65.0,28.0,15.0,0.2,Sony Commercial Camcorder Cell Introduction
Early_Lithium_Ion,2001,78.0,42.0,48.0,12.5,Consumer Portable Electronics Footprint Wave
Early_Lithium_Ion,2011,88.0,54.0,62.0,45.0,Automotive Fleet EV Scalability Testing Loop
Early_Lithium_Ion,2021,94.0,38.0,12.0,82.0,Global Resource Mining Extraction Constraint
Double_Entry_Bookkeeping,1494,62.0,85.0,25.0,2.1,Luca Pacioli Monolithic Summa Publication
Double_Entry_Bookkeeping,1600,78.0,92.0,45.0,42.0,Dutch East India Venture Capital Scaling
Double_Entry_Bookkeeping,1850,95.0,98.0,22.0,95.0,Global Industrial Corporate Accounting Base
The_Printing_Press,1455,88.0,34.0,15.0,0.1,Gutenberg Movable Metal Type Inception
The_Printing_Press,1517,94.0,72.0,65.0,38.4,Martin Luther Protestant Reformation Velocity
The_Printing_Press,1650,98.0,95.0,42.0,92.0,Scientific Journal Network Standardization
The_Scientific_Method,1620,95.0,40.0,22.0,0.1,Francis Bacon Novum Organum Publication
The_Scientific_Method,1687,98.0,85.0,74.0,18.5,Newton Principia Mathematica Disruption Phase
The_Scientific_Method,1850,100.0,98.0,52.0,98.0,Universal Industrial R&D Substrate
Public_Sanitation_Systems,1854,55.0,18.0,12.0,0.5,John Snow London Cholera Pump Map
Public_Sanitation_Systems,1880,72.0,52.0,68.0,42.0,Great Stink Civil Engineering Clean Up Wave
Public_Sanitation_Systems,1920,85.0,88.0,45.0,92.0,Urban Demographics Density Stabilization
Mechanical_Refrigeration,1875,65.0,32.0,18.0,0.4,Linde Ammonia Compressor Industrial Test
Mechanical_Refrigeration,1905,82.0,58.0,74.0,26.4,Cold Chain Freight Logistics Interconnection
Mechanical_Refrigeration,1935,92.0,88.0,42.0,88.0,Domestic Appliance Mass Urbanization
Standardized_Time_Zones,1883,42.0,68.0,25.0,1.2,Railway General Time Convention Accord
Standardized_Time_Zones,1912,75.0,88.0,62.0,65.0,Paris International Time Conference Grid
Standardized_Time_Zones,1930,85.0,98.0,32.0,98.0,Universal Temporal Coordination Base
